Group1_Delta,Group2_Delta,Group3_Delta,Group4_Delta,Cluster
0.0,0.02,0.0,0.02,0
0.0,0.01,0.0,0.01,0
0.0,-0.03,0.0,-0.03,4
0.0,-0.02,0.0,-0.02,4
0.0,0.06,0.0,0.06,0
0.0,0.03,0.0,0.03,0
0.0,-0.01,0.0,-0.01,4
0.0,0.0,0.0,0.0,4
0.0,0.14,0.0,0.14,0
0.0,0.12,0.0,0.12,0
0.0,0.07,0.0,0.07,0
0.0,0.1,0.0,0.1,0
0.0,-0.64,0.0,-0.64,3
0.0,0.08,0.0,0.08,0
0.0,0.01,0.0,0.01,0
0.0,-0.01,0.0,-0.01,4
0.0,0.12,0.0,0.12,0
0.0,0.2,0.0,0.2,2
0.0,0.23,0.0,0.23,2
0.0,0.28,0.0,0.28,2
0.0,-0.45,0.0,-0.45,3
0.0,0.23,0.0,0.23,2
0.0,0.17,0.0,0.17,0
0.0,0.0,0.0,0.0,4
0.0,0.01,0.0,0.01,0
0.0,-0.01,0.0,-0.01,4
0.0,-0.03,0.0,-0.03,4
0.0,-0.04,0.0,-0.04,4
0.0,-0.14,0.0,-0.14,4
0.0,0.48,0.0,0.48,5
0.0,0.46,0.0,0.46,5
0.0,-0.38,0.0,-0.38,1
0.0,-0.4,0.0,-0.4,1
0.0,-0.42,0.0,-0.42,1
0.0,0.4,0.0,0.4,2
0.0,0.4,0.0,0.4,2
0.0,-0.44,0.0,-0.44,3
0.0,0.18,0.0,0.18,0
0.0,0.24,0.0,0.24,2
0.0,-0.45,0.0,-0.45,3
0.0,-0.42,0.0,-0.42,1
0.0,0.22,0.0,0.22,2
0.0,-0.59,0.0,-0.59,3
0.0,0.26,0.0,0.26,2
0.0,0.33,0.0,0.33,2
0.0,0.28,0.0,0.28,2
0.0,-0.56,0.0,-0.56,3
0.0,0.04,0.0,0.04,0
0.0,-0.02,0.0,-0.02,4
0.0,0.15,0.0,0.15,0
0.0,0.29,0.0,0.29,2
0.0,0.41,0.0,0.41,2
0.0,-0.28,0.0,-0.28,1
0.0,-0.19,0.0,-0.19,1
0.0,0.68,0.0,0.68,5
